sex,year,agecat_1,loc,deaths,PYO,births,y_bloc
m,2003,0.0767,Gede,1,93.21,94,2003-06
m,2003,1,Gede,3,442,94,2003-06
m,2003,5,Gede,1,844.85,94,2003-06
m,2003,75,Gede,1,17.13,94,2003-06
m,2003,35,Gede,1,90.48,94,2003-06
m,2003,25,Gede,2,191.3,94,2003-06
m,2003,65,Gede,0,55.34,94,2003-06
m,2003,0,Gede,2,7.49,94,2003-06
m,2003,15,Gede,2,513.88,94,2003-06
m,2003,45,Gede,1,105.74,94,2003-06
m,2003,55,Gede,4,91.65,94,2003-06
m,2003,0,Jaribuni,0,4.76,63,2003-06
m,2003,45,Jaribuni,2,85.09,63,2003-06
m,2003,5,Jaribuni,2,679.59,63,2003-06
m,2003,0.0767,Jaribuni,1,58.93,63,2003-06
m,2003,65,Jaribuni,5,40.37,63,2003-06
m,2003,15,Jaribuni,0,315.17,63,2003-06
m,2003,25,Jaribuni,0,86.18,63,2003-06
m,2003,1,Jaribuni,2,286.5,63,2003-06
m,2003,35,Jaribuni,1,98.03,63,2003-06
m,2003,75,Jaribuni,2,28.66,63,2003-06
m,2003,55,Jaribuni,1,60.88,63,2003-06
m,2003,5,Junju,11,3461.42,399,2003-06
m,2003,45,Junju,9,591.6,399,2003-06
m,2003,15,Junju,5,1946.18,399,2003-06
m,2003,25,Junju,14,1250.29,399,2003-06
m,2003,1,Junju,34,1677.62,399,2003-06
m,2003,0,Junju,7,30.21,399,2003-06
m,2003,65,Junju,7,173.39,399,2003-06
m,2003,75,Junju,8,84.98,399,2003-06
m,2003,35,Junju,8,783.61,399,2003-06
m,2003,55,Junju,14,378.22,399,2003-06
m,2003,0.0767,Junju,6,382.8,399,2003-06
m,2003,65,Kauma,2,100.83,124,2003-06
m,2003,0.0767,Kauma,2,128.78,124,2003-06
m,2003,25,Kauma,0,214.49,124,2003-06
m,2003,35,Kauma,1,152.56,124,2003-06
m,2003,15,Kauma,1,582.32,124,2003-06
m,2003,5,Kauma,5,1212.63,124,2003-06
m,2003,45,Kauma,4,165.16,124,2003-06
m,2003,1,Kauma,3,596.86,124,2003-06
m,2003,0,Kauma,3,9.55,124,2003-06
m,2003,55,Kauma,3,126.54,124,2003-06
m,2003,75,Kauma,6,48.19,124,2003-06
m,2003,1,Kilifi township,17,2265.38,507,2003-06
m,2003,65,Kilifi township,11,177.35,507,2003-06
m,2003,0.0767,Kilifi township,14,509.6,507,2003-06
m,2003,55,Kilifi township,6,394.36,507,2003-06
m,2003,5,Kilifi township,9,4494.49,507,2003-06
m,2003,25,Kilifi township,13,2472.78,507,2003-06
m,2003,45,Kilifi township,15,907.6,507,2003-06
m,2003,0,Kilifi township,16,38.78,507,2003-06
m,2003,35,Kilifi township,23,1587.52,507,2003-06
m,2003,15,Kilifi township,6,2748.63,507,2003-06
m,2003,75,Kilifi township,4,69.31,507,2003-06
m,2003,1,Matsangoni,5,866.87,185,2003-06
m,2003,5,Matsangoni,0,1792.23,185,2003-06
m,2003,0.0767,Matsangoni,4,189,185,2003-06
m,2003,15,Matsangoni,4,1042.7,185,2003-06
m,2003,45,Matsangoni,1,224.99,185,2003-06
m,2003,55,Matsangoni,3,176.66,185,2003-06
m,2003,25,Matsangoni,1,411.61,185,2003-06
m,2003,0,Matsangoni,7,13.47,185,2003-06
m,2003,35,Matsangoni,2,239.39,185,2003-06
m,2003,65,Matsangoni,2,101.69,185,2003-06
m,2003,75,Matsangoni,4,43.53,185,2003-06
m,2003,65,Mtwapa,3,67.61,147,2003-06
m,2003,75,Mtwapa,1,33.34,147,2003-06
m,2003,25,Mtwapa,4,696.53,147,2003-06
m,2003,15,Mtwapa,2,948.56,147,2003-06
m,2003,0.0767,Mtwapa,4,150.96,147,2003-06
m,2003,1,Mtwapa,2,610.95,147,2003-06
m,2003,35,Mtwapa,0,350.79,147,2003-06
m,2003,55,Mtwapa,4,160.85,147,2003-06
m,2003,0,Mtwapa,2,11.41,147,2003-06
m,2003,45,Mtwapa,4,256.81,147,2003-06
m,2003,5,Mtwapa,3,1421.63,147,2003-06
m,2003,25,Ngerenya,4,593.57,237,2003-06
m,2003,5,Ngerenya,4,1971.15,237,2003-06
m,2003,55,Ngerenya,6,190.83,237,2003-06
m,2003,15,Ngerenya,3,1230.83,237,2003-06
m,2003,0.0767,Ngerenya,3,209.51,237,2003-06
m,2003,45,Ngerenya,11,238.83,237,2003-06
m,2003,1,Ngerenya,8,946.14,237,2003-06
m,2003,65,Ngerenya,8,164.67,237,2003-06
m,2003,35,Ngerenya,2,307.82,237,2003-06
m,2003,0,Ngerenya,2,18.36,237,2003-06
m,2003,75,Ngerenya,6,58.96,237,2003-06
m,2003,5,Roka,7,1982.75,237,2003-06
m,2003,0,Roka,4,18.19,237,2003-06
m,2003,45,Roka,6,238.42,237,2003-06
m,2003,0.0767,Roka,11,227.69,237,2003-06
m,2003,15,Roka,1,1125.9,237,2003-06
m,2003,75,Roka,2,56.26,237,2003-06
m,2003,25,Roka,5,537.47,237,2003-06
m,2003,1,Roka,9,987.05,237,2003-06
m,2003,55,Roka,3,194.6,237,2003-06
m,2003,35,Roka,5,343.63,237,2003-06
m,2003,65,Roka,7,136.98,237,2003-06
m,2003,75,Sokoke,3,51.2,122,2003-06
m,2003,35,Sokoke,2,161.08,122,2003-06
m,2003,0,Sokoke,0,9.49,122,2003-06
m,2003,5,Sokoke,4,1280.51,122,2003-06
m,2003,25,Sokoke,3,179.17,122,2003-06
m,2003,0.0767,Sokoke,2,127.71,122,2003-06
m,2003,15,Sokoke,3,602.68,122,2003-06
m,2003,1,Sokoke,5,564.08,122,2003-06
m,2003,65,Sokoke,4,87.06,122,2003-06
m,2003,55,Sokoke,2,120.91,122,2003-06
m,2003,45,Sokoke,4,141.69,122,2003-06
m,2003,35,Takaungu Mavueni,7,621.12,386,2003-06
m,2003,25,Takaungu Mavueni,6,927.85,386,2003-06
m,2003,75,Takaungu Mavueni,7,107.86,386,2003-06
m,2003,0.0767,Takaungu Mavueni,8,361.03,386,2003-06
